ReadLength	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	212780
31	203245
32	165835
33	169615
34	119458
35	191248
36	158244
37	155849
38	120633
39	119332
40	146899
41	125360
42	113891
43	109329
44	98761
45	122610
46	107912
47	103877
48	92877
49	94018
50	95539
51	122206
52	97501
53	119258
54	83712
55	81387
56	80764
57	81654
58	78496
59	75261
60	68114
61	71575
62	66741
63	66987
64	72351
65	64274
66	66409
67	56676
68	59160
69	63035
70	52487
71	54911
72	52290
73	51999
74	47786
75	46606
76	39889
77	46990
78	35445
79	38031
80	31683
81	32564
82	26939
83	31122
84	26511
85	25684
86	24173
87	22476
88	21786
89	20587
90	24492
91	25724
92	16290
93	18930
94	15698
95	18039
96	13816
97	12969
98	11905
99	12378
100	10720
101	9977
102	7909
103	7243
104	7797
105	5794
106	4780
107	4044
108	3683
109	3704
110	2911
111	2316
112	1548
113	1691
114	938
115	801
116	573
117	468
118	317
119	266
120	221
121	167
122	100
123	88
124	77
125	49
126	32
127	23
128	12
129	8
130	4
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	809201596
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
