ReadLength	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	217939
31	209045
32	164368
33	153655
34	118304
35	184406
36	151945
37	153785
38	117623
39	114470
40	145421
41	118804
42	107108
43	103626
44	92987
45	113410
46	101822
47	98085
48	88538
49	90826
50	92014
51	120469
52	93208
53	116635
54	80387
55	77377
56	74617
57	76582
58	74164
59	70996
60	64895
61	65956
62	62394
63	63713
64	70133
65	61317
66	65503
67	51880
68	54174
69	59259
70	49428
71	51305
72	47613
73	46902
74	42542
75	43913
76	37510
77	37503
78	33778
79	35207
80	29973
81	29987
82	24842
83	30068
84	24863
85	24054
86	22741
87	21194
88	20159
89	19400
90	22305
91	25964
92	14870
93	17268
94	14167
95	15592
96	12421
97	11225
98	10945
99	10638
100	9580
101	8401
102	6771
103	6167
104	6086
105	4947
106	4058
107	3393
108	3071
109	2842
110	2198
111	1699
112	1265
113	1181
114	840
115	661
116	513
117	355
118	269
119	226
120	229
121	113
122	92
123	68
124	64
125	31
126	27
127	12
128	13
129	5
130	4
131	2
132	0
133	2
134	1
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	724465544
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
