ReadLength	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	3533
31	3905
32	2824
33	2845
34	1874
35	21907697
36	22481404
37	22864078
38	23215458
39	23283632
40	23268536
41	23372267
42	23278876
43	23028331
44	22649564
45	22438824
46	22247904
47	22109687
48	21753265
49	21578285
50	21007245
51	20731141
52	20373380
53	19863891
54	19402057
55	19066138
56	18591374
57	18232120
58	17922140
59	17596213
60	17071113
61	16689560
62	16240256
63	15807149
64	15509080
65	15127175
66	14746971
67	14406743
68	14057637
69	13670353
70	13416524
71	12991017
72	12650133
73	12330119
74	11913694
75	11574188
76	123487067
77	10971518
78	10682546
79	10442309
80	10153879
81	9888514
82	9592517
83	9372054
84	9028508
85	8733019
86	8449936
87	8227795
88	8000928
89	7839145
90	7562680
91	7352031
92	7138243
93	6954229
94	6726534
95	6499971
96	6279035
97	6114668
98	5924157
99	5784284
100	5617966
101	5480401
102	5313779
103	5181503
104	5001055
105	4845853
106	4674332
107	4551388
108	4420080
109	4300516
110	4174790
111	4053287
112	3938473
113	3819048
114	3708960
115	3589788
116	3465428
117	3283160
118	3186360
119	3100506
120	3012780
121	2929410
122	2848709
123	2767944
124	2686936
125	2594063
126	2512844
127	2434204
128	2361821
129	2292970
130	2230239
131	2166980
132	2100035
133	2045793
134	1982229
135	1917204
136	1859259
137	1805033
138	1751885
139	1699922
140	1652745
141	1600996
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
