ReadLength	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	467232
31	486303
32	417835
33	419700
34	369028
35	503658
36	446988
37	445655
38	427686
39	399191
40	429054
41	422190
42	394272
43	402114
44	376803
45	429625
46	401886
47	407897
48	406813
49	423197
50	435711
51	452069
52	460853
53	454522
54	464063
55	489179
56	486249
57	493707
58	671459
59	560660
60	541369
61	543788
62	553717
63	576349
64	592339
65	626298
66	642593
67	658767
68	686817
69	715442
70	1095778
71	753663
72	778642
73	825768
74	849463
75	870621
76	904016
77	942958
78	981109
79	1015320
80	1132508
81	1202001
82	1251492
83	1302568
84	1324372
85	1574808
86	1672775
87	1772587
88	1818453
89	1837705
90	2607287
91	2794097
92	2940809
93	3050668
94	3049909
95	7409121
96	7850496
97	7841159
98	7530008
99	8002367
100	203365373
101	44452807
102	11553009
103	3156016
104	886912
105	225749
106	241435
107	112118
108	48649
109	24654
110	10213
111	9481
112	5027
113	3134
114	1925
115	1378
116	1145
117	901
118	719
119	646
120	595
121	519
122	538
123	452
124	400
125	360
126	433
127	352
128	364
129	354
130	353
131	312
132	329
133	308
134	261
135	285
136	268
137	292
138	239
139	248
140	263
141	245
142	218
143	259
144	197
145	239
146	212
147	203
148	165
149	167
150	38
151	10
152	9
153	4
154	3
155	1
156	5
157	2
158	1
159	0
160	0
161	0
162	0
163	0
164	0
165	4
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	384445375
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
