ReadLength	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	3301
31	3583
32	2659
33	2761
34	2082
35	26359986
36	27874289
37	28846603
38	29196343
39	29437764
40	29397077
41	29337686
42	29367607
43	29410074
44	29570081
45	30057144
46	30779583
47	31664219
48	32030581
49	31721545
50	31041230
51	30266757
52	29331458
53	28523238
54	27753177
55	27002313
56	26187868
57	25456050
58	24690799
59	23947575
60	23301083
61	22635753
62	21995239
63	21332691
64	20820111
65	20196809
66	19678564
67	19088872
68	18530384
69	17995892
70	17433644
71	16937435
72	16389138
73	15893648
74	15399893
75	14958834
76	14509101
77	14089464
78	13657785
79	13244846
80	12809107
81	12391977
82	11973499
83	11581813
84	11175722
85	10817857
86	10467173
87	10121020
88	9799205
89	9492796
90	9221598
91	8936555
92	8650381
93	8389032
94	8125889
95	7886230
96	7633229
97	7382417
98	7144463
99	6895273
100	6690503
101	6487701
102	6275506
103	6082179
104	5882215
105	5687768
106	5500313
107	5325473
108	5154748
109	4950818
110	4786498
111	4630112
112	4470202
113	4320513
114	4180131
115	4048502
116	3917997
117	3807532
118	3687360
119	3542121
120	3429302
121	3318256
122	3205663
123	3103839
124	2997115
125	2901537
126	2806854
127	2716082
128	2628343
129	2514969
130	2437468
131	2363032
132	2288165
133	2213198
134	2147673
135	2075817
136	2017524
137	1971682
138	190050
139	183710
140	177123
141	170388
142	163798
143	157021
144	151095
145	144384
146	139362
147	132978
148	128810
149	123088
150	118099
151	114048
152	108959
153	104812
154	99584
155	95522
156	91169
157	87891
158	83815
159	80665
160	77105
161	74202
162	71331
163	68159
164	65056
165	62125
166	58976
167	56198
168	53568
169	51655
170	50601
171	47496
172	45579
173	43327
174	40907
175	38619
176	37069
177	36016
178	34157
179	33195
180	31661
181	30264
182	29325
183	27492
184	25514
185	24115
186	23658
187	22334
188	21495
189	20615
190	19851
191	19397
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
