ReadLength	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	1135761
31	1243149
32	912794
33	894829
34	819352
35	1298213
36	1072321
37	1017158
38	1025774
39	1106535
40	1081275
41	988282
42	879435
43	926444
44	853614
45	1021908
46	1061339
47	927740
48	921267
49	982242
50	1014660
51	1056634
52	990926
53	1037303
54	1019452
55	1120403
56	1313827
57	1096389
58	1106486
59	1275543
60	1312770
61	1196232
62	1191650
63	1203544
64	1265646
65	1296090
66	1278710
67	1341738
68	1349923
69	1482761
70	1434918
71	1464486
72	1457348
73	1644870
74	1653993
75	1813308
76	1757109
77	1712441
78	1821494
79	1898521
80	1947475
81	2048584
82	2155702
83	2225172
84	2291265
85	2478127
86	2739540
87	2876063
88	2971218
89	3151324
90	3608087
91	4622049
92	4400795
93	4638261
94	4630663
95	6450738
96	10729854
97	11167658
98	11006669
99	11183566
100	290912652
101	172763504
102	40921666
103	10996012
104	3051918
105	864391
106	305813
107	251506
108	116409
109	52232
110	25010
111	12393
112	9785
113	5376
114	3379
115	2225
116	1558
117	1256
118	1039
119	809
120	728
121	655
122	538
123	535
124	471
125	451
126	445
127	450
128	416
129	389
130	350
131	340
132	346
133	342
134	359
135	305
136	285
137	293
138	297
139	267
140	254
141	249
142	229
143	204
144	233
145	230
146	212
147	215
148	194
149	207
150	143
151	96
152	22
153	19
154	19
155	8
156	6
157	7
158	1
159	4
160	3
161	1
162	1
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	165394423
201	0
202	358282738
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
