ReadLength	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	1946047
31	1864209
32	1553348
33	1451217
34	1203151
35	1920264
36	1655096
37	1571244
38	1439599
39	1425850
40	1703567
41	1718146
42	1544492
43	1495921
44	1414170
45	1737171
46	1646479
47	1784259
48	1546723
49	1558920
50	1653897
51	1665275
52	1605039
53	1576413
54	1554693
55	1655069
56	1658982
57	1649345
58	1636255
59	1673423
60	1724190
61	1738746
62	1770055
63	1702979
64	1781831
65	1846241
66	1877128
67	1971988
68	1966813
69	2009417
70	2131731
71	2105536
72	2065689
73	2205314
74	2187640
75	2352426
76	2473360
77	2574510
78	2623785
79	2738659
80	2931306
81	3083256
82	3175184
83	3276486
84	3297693
85	4059544
86	4235945
87	4412133
88	4516451
89	4555844
90	6698283
91	7096710
92	7335857
93	7444698
94	7242384
95	16427913
96	17700683
97	17477731
98	16746186
99	16625968
100	258295703
101	64766948
102	17764972
103	5022385
104	1446171
105	412177
106	384558
107	183152
108	81081
109	39459
110	16811
111	14475
112	7861
113	4612
114	3108
115	1954
116	1674
117	1253
118	981
119	802
120	685
121	681
122	578
123	588
124	513
125	524
126	514
127	457
128	460
129	446
130	414
131	409
132	405
133	406
134	376
135	355
136	351
137	351
138	290
139	273
140	280
141	287
142	291
143	281
144	253
145	261
146	276
147	246
148	211
149	218
150	58
151	56
152	26
153	18
154	10
155	6
156	7
157	3
158	5
159	1
160	1
161	1
162	0
163	0
164	2
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	616952123
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
