ReadLength	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	641059
31	660642
32	578571
33	580544
34	520966
35	690161
36	619391
37	618392
38	574948
39	561913
40	605827
41	592644
42	566957
43	572699
44	551692
45	610633
46	589658
47	602803
48	596695
49	618849
50	639190
51	649964
52	662804
53	667366
54	676719
55	710677
56	716970
57	735476
58	755427
59	772276
60	813842
61	841536
62	866476
63	903920
64	915508
65	950742
66	969054
67	987462
68	1019102
69	1038394
70	1083051
71	1115934
72	1138684
73	1195331
74	1224392
75	1244027
76	1314912
77	1355626
78	1417015
79	1461717
80	1609482
81	1689883
82	1754703
83	1830791
84	1861040
85	2196623
86	2320355
87	2424790
88	2523596
89	2568398
90	3576510
91	3832433
92	4056030
93	4174794
94	4192451
95	10088044
96	10433206
97	10405569
98	10008472
99	11232091
100	250474219
101	54678626
102	14204657
103	3889351
104	1094139
105	279761
106	291293
107	136126
108	59225
109	29438
110	11964
111	11122
112	5783
113	3704
114	2388
115	1533
116	1333
117	1041
118	877
119	790
120	695
121	602
122	588
123	560
124	538
125	516
126	513
127	483
128	439
129	435
130	409
131	421
132	411
133	390
134	384
135	413
136	365
137	314
138	312
139	282
140	265
141	326
142	294
143	279
144	241
145	254
146	247
147	216
148	215
149	176
150	42
151	15
152	7
153	3
154	6
155	3
156	1
157	1
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	1
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	475738911
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
