ReadLength	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	753812
31	776654
32	665003
33	660250
34	586941
35	824696
36	724674
37	717014
38	664783
39	647608
40	700859
41	688228
42	639118
43	646386
44	628095
45	711141
46	671151
47	685848
48	678093
49	701949
50	728502
51	740790
52	761819
53	754423
54	778216
55	824118
56	815830
57	858499
58	861283
59	894982
60	925711
61	962177
62	983444
63	1014353
64	1027591
65	1073745
66	1086086
67	1110660
68	1172281
69	1232055
70	1261010
71	1298698
72	1323286
73	1642669
74	1579156
75	1499636
76	1547378
77	1584424
78	1650701
79	1720124
80	1899467
81	2004411
82	2087056
83	2181868
84	2225135
85	2670542
86	2816812
87	2970030
88	3077364
89	3081788
90	4347750
91	4616957
92	4827540
93	5084318
94	4829655
95	11753975
96	12508038
97	12392859
98	11989471
99	12179714
100	323823658
101	71003160
102	18470844
103	5021219
104	1400490
105	360021
106	384703
107	178341
108	77624
109	37927
110	15794
111	14841
112	7933
113	4745
114	3095
115	2147
116	1712
117	1296
118	1041
119	975
120	798
121	713
122	694
123	682
124	602
125	577
126	554
127	527
128	468
129	484
130	477
131	464
132	448
133	486
134	375
135	414
136	340
137	344
138	340
139	317
140	282
141	296
142	289
143	319
144	240
145	241
146	242
147	267
148	237
149	220
150	28
151	17
152	14
153	6
154	5
155	5
156	1
157	2
158	1
159	3
160	0
161	1
162	2
163	1
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	612862361
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
