ReadLength	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	681785
31	678732
32	571016
33	565767
34	495835
35	705548
36	623255
37	605492
38	536738
39	533093
40	619758
41	582914
42	585776
43	591967
44	526291
45	650523
46	565811
47	574700
48	573133
49	627084
50	632081
51	604361
52	599974
53	626339
54	622528
55	651277
56	644671
57	669641
58	679472
59	713548
60	719498
61	749552
62	746790
63	787076
64	812639
65	847492
66	852387
67	877487
68	935120
69	929235
70	960162
71	979124
72	995817
73	1034591
74	1087242
75	1113938
76	1146801
77	1185781
78	1258225
79	1293321
80	1414506
81	1450596
82	1498420
83	1545463
84	1581383
85	1820814
86	1898128
87	1985763
88	2011930
89	2025428
90	2789080
91	3017667
92	3057850
93	3102826
94	3046908
95	7283836
96	7711828
97	7638879
98	7406402
99	7723102
100	200205188
101	43892980
102	11481163
103	3243196
104	1013970
105	366378
106	385059
107	262539
108	206704
109	188964
110	171893
111	178043
112	179030
113	185260
114	188899
115	189511
116	197939
117	204918
118	209128
119	217713
120	218701
121	224755
122	232096
123	240949
124	247199
125	254263
126	266828
127	275037
128	283355
129	289751
130	286016
131	320817
132	333702
133	342205
134	345918
135	339093
136	408838
137	419664
138	423751
139	426479
140	415876
141	580056
142	605126
143	614848
144	616927
145	582445
146	1534654
147	1471117
148	1362951
149	1261886
150	1350046
151	36002325
152	8464904
153	2221730
154	602741
155	165978
156	43552
157	46171
158	21853
159	9490
160	4719
161	1954
162	1774
163	980
164	582
165	389
166	217
167	198
168	139
169	136
170	96
171	90
172	64
173	58
174	62
175	75
176	59
177	48
178	39
179	40
180	46
181	40
182	32
183	38
184	31
185	42
186	30
187	25
188	27
189	22
190	20
191	35
192	24
193	30
194	40
195	32
196	33
197	27
198	27
199	31
200	382497681
201	26
202	21
203	25
204	21
205	27
206	27
207	20
208	27
209	18
210	20
211	19
212	23
213	14
214	11
215	15
216	18
217	9
218	17
219	12
220	12
221	10
222	7
223	17
224	7
225	17
226	1
227	2
228	1
229	1
230	1
231	0
232	0
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	0
249	0
250	0
251	0
252	0
253	0
254	0
255	0
256	0
257	0
258	0
259	0
260	0
261	1
262	0
263	0
264	0
265	0
266	0
267	0
268	0
269	0
270	0
271	0
272	0
273	0
274	0
275	0
276	0
277	0
278	0
279	0
280	0
281	0
282	0
283	0
284	0
285	0
286	0
287	0
288	0
289	0
290	0
291	0
292	0
293	0
294	0
295	0
296	0
297	0
298	0
299	0
300	0
301	0
302	75980586
303	0
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	0
