ReadLength	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	741476
31	806444
32	816322
33	865917
34	798087
35	1068676
36	1142786
37	1226520
38	1248494
39	1317829
40	1491156
41	1911867
42	2060127
43	2218551
44	2305731
45	2401408
46	6119621
47	6528132
48	6821077
49	6295311
50	6041255
51	183748112
52	36769474
53	9237908
54	2569662
55	871965
56	383293
57	400065
58	313992
59	249430
60	245902
61	251586
62	251786
63	253582
64	256271
65	269123
66	271720
67	273107
68	286174
69	293594
70	304480
71	308285
72	314753
73	312960
74	365707
75	360056
76	366290
77	372746
78	390720
79	400915
80	428315
81	451476
82	464816
83	470063
84	489970
85	586656
86	600188
87	623713
88	652956
89	666775
90	934820
91	1002483
92	1063507
93	1126875
94	1135996
95	3076545
96	3143936
97	3175982
98	3044018
99	4108415
100	106638561
101	21966013
102	331962186
103	1500172
104	418888
105	104672
106	114628
107	53397
108	23582
109	12243
110	5088
111	4762
112	2637
113	1747
114	1182
115	802
116	714
117	539
118	423
119	375
120	300
121	257
122	271
123	264
124	218
125	228
126	177
127	178
128	179
129	172
130	141
131	137
132	146
133	123
134	113
135	122
136	116
137	89
138	90
139	89
140	99
141	83
142	81
143	78
144	72
145	61
146	75
147	81
148	81
149	50
150	7
151	4
152	4
153	4
154	3
155	2
156	0
157	1
158	1
159	2
160	0
161	0
162	0
163	1
164	1
165	0
166	0
167	0
168	1
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	188743298
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
