ReadLength	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	1908470
31	2025395
32	1898702
33	1923658
34	1907670
35	2780719
36	2787953
37	2885240
38	3037133
39	3219059
40	4228870
41	4943055
42	5430636
43	6146152
44	6554323
45	12281205
46	17247268
47	19450262
48	29954406
49	24226980
50	193224954
51	156825416
52	60834993
53	20227465
54	7171762
55	2713900
56	1270571
57	764963
58	451989
59	319031
60	252291
61	196889
62	162155
63	143868
64	138609
65	128171
66	109511
67	99810
68	90696
69	87678
70	82557
71	74058
72	65310
73	61782
74	58397
75	62390
76	57453
77	52864
78	50088
79	52343
80	52641
81	48655
82	46697
83	45830
84	44707
85	47503
86	42270
87	43910
88	40567
89	41798
90	45748
91	43340
92	41463
93	41262
94	39007
95	53877
96	53811
97	50371
98	48120
99	53311
100	311005
101	83483
102	25554
103	7850
104	2860
105	1146
106	812
107	463
108	279
109	191
110	114
111	85
112	49
113	51
114	32
115	25
116	29
117	9
118	10
119	13
120	22
121	13
122	5
123	3
124	5
125	2
126	3
127	0
128	2
129	0
130	0
131	1
132	1
133	1
134	0
135	1
136	0
137	0
138	0
139	0
140	0
141	2
142	0
143	1
144	0
145	1
146	0
147	0
148	1
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	720180095
197	0
198	0
199	0
