ReadLength	Count
0	16
1	748317
2	84494
3	76015
4	98587
5	197232
6	569033
7	1944784
8	8608193
9	17359321
10	20852234
11	25707222
12	33930455
13	43134291
14	49749818
15	56517484
16	67195098
17	77689434
18	94091165
19	120945282
20	148055596
21	185513277
22	237077724
23	283600693
24	334969828
25	396609438
26	440641800
27	476205169
28	518807902
29	543478573
30	562114972
31	586497850
32	597507009
33	599278814
34	612523700
35	614881188
36	613510234
37	624106164
38	625231197
39	635507530
40	640857364
41	677191473
42	641649320
43	637822409
44	619271403
45	595019813
46	582518069
47	564217301
48	561492484
49	523237174
50	520777264
51	472936759
52	462618930
53	442081390
54	438611532
55	429099141
56	411449235
57	391726140
58	365635198
59	351489741
60	331923036
61	321549842
62	309061954
63	296981811
64	283492590
65	286797852
66	260821836
67	264476227
68	246430730
69	232599322
70	228104595
71	220465214
72	209736856
73	202321314
74	194495900
75	185091637
76	5875270402
77	176594204
78	172276045
79	163657054
80	159661608
81	152073832
82	148961852
83	144046890
84	137684877
85	135052738
86	130776019
87	125072676
88	122841877
89	118997410
90	113702139
91	111517664
92	107965483
93	103241680
94	101456556
95	98439645
96	94438144
97	93115460
98	90455724
99	86795288
100	85447764
101	82971641
102	79483626
103	78369618
104	76221902
105	73281783
106	72438978
107	70654654
108	68005599
109	67234654
110	65459512
111	62894346
112	62075736
113	60362163
114	57908299
115	57163684
116	55562039
117	53404172
118	52779992
119	51427125
120	49455078
121	48927281
122	47711039
123	45966661
124	45553318
125	44490067
126	42908551
127	42575518
128	41603583
129	40144218
130	39842776
131	38926142
132	37509148
133	37177768
134	36244141
135	34883522
136	34505621
137	33634599
138	32325324
139	32012835
140	31123179
141	29700969
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	1
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	0
215	0
216	0
217	0
218	1
219	0
220	0
221	0
222	0
223	0
224	0
225	0
226	0
227	0
