#Method	Filename1	Filename2	LenElements1	LenElements2	OverlapCount	DebugCheck	ExpectedOverlap	Enrichment	EnrichPValue	DepletePValue
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/A172.unionSet.bed	685471	31408	30719	1.000000	20331.809521	1.510884	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/A549.unionSet.bed	685471	31405	30755	1.000000	20227.637710	1.520444	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/A673.unionSet.bed	685471	44915	43748	1.000000	29492.511885	1.483360	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/ACHN.unionSet.bed	685471	150794	145757	1.000000	97422.085681	1.496139	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/adrenal_gland_female_embryo_85_days.unionSet.bed	685471	43044	42231	1.000000	27320.659479	1.545753	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/adrenal_gland_male_adult_37_years.unionSet.bed	685471	34267	33524	1.000000	21874.588299	1.532555	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/amniotic_epithelial_cell.unionSet.bed	685471	107677	105421	1.000000	68293.878914	1.543638	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/astrocyte_of_the_spinal_cord.unionSet.bed	685471	45005	44079	1.000000	28639.568201	1.539094	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/B_cell_female_adult_34_years.unionSet.bed	685471	72300	70808	1.000000	45909.714278	1.542332	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/bipolar_neuron_from_GM23338_doxycycline_4_days.unionSet.bed	685471	19896	19472	1.000000	12896.098908	1.509914	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/body_of_pancreas_female_adult_51_year.unionSet.bed	685471	103948	101534	1.000000	67123.184266	1.512652	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/brain_female_embryo_142_days.unionSet.bed	685471	71638	69711	1.000000	46288.690431	1.506005	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/brain_male_embryo_105_days.unionSet.bed	685471	90420	87982	1.000000	58269.853762	1.509906	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/brain_pericyte.unionSet.bed	685471	52389	50951	1.000000	34166.081262	1.491274	0.000000e+00	1.000000e+00
normalApproximate	/home/rimangan/data/reference/epimap/chromatinStates/regulatoryElements.bed	unionSetsHg38/breast_epithelium_female_adult_51_year.unionSet.bed	685471	49267	47977	1.000000	32232.781105	1.488454	0.000000e+00	1.000000e+00
