hCONDEL_ID	panTro4_mpra_chr	panTro4_mpra_start_pos	panTro4_mpra_end_pos	hg38_mpra_chr	hg38_mpra_start_pos	hg38_mpra_end_pos
hCONDEL_1	chr1	1104614	1104814	chr1	1183994	1184192
hCONDEL_2	chr1	1451930	1452130	chr1	1534727	1534926
hCONDEL_3	chr1	1622138	1622338	chr1	1756506	1756703
hCONDEL_4	chr1	2185645	2185845	chr1	2310023	2310219
hCONDEL_5	chr1	2557165	2557365	chr1	2793236	2793435
hCONDEL_6	chr1	2625086	2625286	chr1	2855945	2856144
hCONDEL_7	chr1	2982681	2982881	chr1	3197830	3198029
hCONDEL_8	chr1	3004344	3004544	chr1	3215998	3216197
hCONDEL_9	chr1	3979704	3979904	chr1	4101761	4101952
hCONDEL_10	chr1	5469092	5469292	chr1	5502404	5502603
hCONDEL_11	chr1	5469260	5469460	chr1	5502571	5502770
hCONDEL_12	chr1	6722645	6722845	chr1	6730174	6730373
hCONDEL_13	chr1	6756546	6756746	chr1	6759637	6759833
hCONDEL_14	chr1	6769292	6769492	chr1	6772207	6772406
hCONDEL_15	chr1	6820968	6821168	chr1	6822590	6822781
hCONDEL_16	chr1	7022448	7022648	chr1	7024752	7024951
hCONDEL_17	chr1	7046343	7046543	chr1	7048202	7048398
hCONDEL_18	chr1	7164528	7164728	chr1	7171042	7171240
hCONDEL_19	chr1	7221240	7221440	chr1	7228031	7228230
hCONDEL_20	chr1	7224233	7224433	chr1	7230414	7230612
hCONDEL_21	chr1	7276077	7276277	chr1	7279391	7279589
hCONDEL_22	chr1	8008370	8008570	chr1	8002152	8002350
hCONDEL_23	chr1	8425930	8426130	chr1	8407681	8407880
hCONDEL_24	chr1	8477937	8478137	chr1	8458090	8458288
hCONDEL_25	chr1	8494434	8494634	chr1	8473997	8474194
hCONDEL_26	chr1	8743254	8743454	chr1	8723966	8724163
hCONDEL_27	chr1	8798892	8799092	chr1	8776065	8776264
hCONDEL_28	chr1	10760063	10760263	chr1	10633354	10633553
hCONDEL_29	chr1	10971923	10972123	chr1	10841212	10841409
hCONDEL_30	chr1	11587969	11588169	chr1	11447818	11448017
hCONDEL_31	chr1	12152925	12153125	chr1	12013264	12013462
hCONDEL_32	chr1	12442706	12442906	chr1	12303913	12304101
hCONDEL_33	chr1	12607433	12607633	chr1	12464431	12464630
hCONDEL_34	chr1	14108834	14109034	chr1	14027345	14027541
