chr	start	end	name	mutation_count
chr10	74071	74409	chr10.74071.74409	3
chr10	137654	138014	chr10.137654.138014	1
chr10	585551	585875	chr10.585551.585875	3
chr10	1243650	1244403	chr10.1243650.1244403	8
chr10	1432262	1432583	chr10.1432262.1432583	3
chr10	1661914	1663004	chr10.1661914.1663004	18
chr10	1715825	1716483	chr10.1715825.1716483	4
chr10	2201695	2202114	chr10.2201695.2202114	3
chr10	2619585	2619954	chr10.2619585.2619954	4
chr10	2839161	2839592	chr10.2839161.2839592	3
chr10	2948582	2948907	chr10.2948582.2948907	2
chr10	3048726	3049087	chr10.3048726.3049087	9
chr10	3132477	3133121	chr10.3132477.3133121	7
chr10	3532704	3533282	chr10.3532704.3533282	4
chr10	3542216	3542753	chr10.3542216.3542753	6
chr10	3699969	3700339	chr10.3699969.3700339	3
chr10	3735200	3735559	chr10.3735200.3735559	3
chr10	3873784	3874193	chr10.3873784.3874193	2
chr10	3886338	3886658	chr10.3886338.3886658	2
chr10	4354026	4354980	chr10.4354026.4354980	3
chr10	4533634	4534076	chr10.4533634.4534076	2
chr10	4586894	4587256	chr10.4586894.4587256	3
chr10	4763982	4764333	chr10.4763982.4764333	5
chr10	4847535	4848119	chr10.4847535.4848119	7
chr10	4947613	4948168	chr10.4947613.4948168	6
chr10	5516101	5516532	chr10.5516101.5516532	5
chr10	5563730	5564884	chr10.5563730.5564884	13
chr10	5645300	5645839	chr10.5645300.5645839	5
chr10	5776878	5777218	chr10.5776878.5777218	2
chr10	5958762	5959103	chr10.5958762.5959103	3
chr10	6148392	6148808	chr10.6148392.6148808	5
chr10	6207547	6208148	chr10.6207547.6208148	5
chr10	6271148	6271690	chr10.6271148.6271690	4
chr10	6753795	6754139	chr10.6753795.6754139	4
chr10	6878050	6878435	chr10.6878050.6878435	3
chr10	7028232	7028663	chr10.7028232.7028663	3
chr10	7795777	7796135	chr10.7795777.7796135	7
chr10	8138597	8138949	chr10.8138597.8138949	1
chr10	8389669	8390069	chr10.8389669.8390069	3
chr10	8446617	8446953	chr10.8446617.8446953	4
chr10	10794750	10795264	chr10.10794750.10795264	6
chr10	11154894	11155232	chr10.11154894.11155232	2
chr10	11226741	11227106	chr10.11226741.11227106	3
chr10	11236350	11236774	chr10.11236350.11236774	3
chr10	11516414	11516798	chr10.11516414.11516798	1
chr10	11822058	11822524	chr10.11822058.11822524	2
chr10	12053500	12054010	chr10.12053500.12054010	2
chr10	12067312	12067706	chr10.12067312.12067706	1
chr10	12307528	12307861	chr10.12307528.12307861	1
chr10	12340402	12340915	chr10.12340402.12340915	4
chr10	12359303	12359758	chr10.12359303.12359758	2
chr10	12366077	12366479	chr10.12366077.12366479	2
chr10	12418051	12418450	chr10.12418051.12418450	1
chr10	12706087	12706435	chr10.12706087.12706435	4
chr10	12709597	12710080	chr10.12709597.12710080	1
chr10	12835773	12836285	chr10.12835773.12836285	2
chr10	13056581	13056941	chr10.13056581.13056941	2
chr10	13107633	13107993	chr10.13107633.13107993	3
chr10	13299280	13300472	chr10.13299280.13300472	9
chr10	13415807	13416192	chr10.13415807.13416192	3
chr10	13784109	13784451	chr10.13784109.13784451	2
chr10	14023617	14024292	chr10.14023617.14024292	4
chr10	14200712	14201200	chr10.14200712.14201200	7
chr10	14260154	14260585	chr10.14260154.14260585	1
chr10	14429131	14429516	chr10.14429131.14429516	3
chr10	14536958	14537455	chr10.14536958.14537455	2
chr10	14819962	14820508	chr10.14819962.14820508	1
chr10	14951595	14951915	chr10.14951595.14951915	3
chr10	15152027	15152552	chr10.15152027.15152552	5
chr10	15200545	15201284	chr10.15200545.15201284	7
chr10	15585339	15585771	chr10.15585339.15585771	2
chr10	15902648	15903028	chr10.15902648.15903028	4
