chr	start	end	name	mutation_count
chr10	15084499	15084955	chr10.15084499.15084955	1
chr10	43872776	43873236	chr10.43872776.43873236	1
chr10	69494599	69495180	chr10.69494599.69495180	5
chr10	73495953	73496324	chr10.73495953.73496324	1
chr10	97631131	97631469	chr10.97631131.97631469	4
chr10	104292982	104293461	chr10.104292982.104293461	3
chr10	120586379	120586846	chr10.120586379.120586846	6
chr11	1452099	1452562	chr11.1452099.1452562	3
chr11	60251509	60251950	chr11.60251509.60251950	6
chr11	62567213	62567730	chr11.62567213.62567730	3
chr11	65266167	65266691	chr11.65266167.65266691	3
chr12	2294692	2295199	chr12.2294692.2295199	3
chr12	5441023	5441408	chr12.5441023.5441408	2
chr12	50079774	50080286	chr12.50079774.50080286	3
chr12	57093924	57094463	chr12.57093924.57094463	3
chr12	65126061	65126491	chr12.65126061.65126491	2
chr12	109779301	109780091	chr12.109779301.109780091	6
chr12	122130217	122130732	chr12.122130217.122130732	2
chr13	19364659	19364959	chr13.19364659.19364959	3
chr13	30241594	30242021	chr13.30241594.30242021	3
chr13	71431372	71431811	chr13.71431372.71431811	3
chr13	111503899	111504284	chr13.111503899.111504284	4
chr13	113508488	113508912	chr13.113508488.113508912	2
chr14	20440827	20441298	chr14.20440827.20441298	8
chr14	96166117	96166478	chr14.96166117.96166478	1
chr14	101055813	101056341	chr14.101055813.101056341	5
chr16	2430391	2430788	chr16.2430391.2430788	4
chr16	2510095	2510443	chr16.2510095.2510443	4
chr16	3100094	3100533	chr16.3100094.3100533	2
chr16	21611746	21612087	chr16.21611746.21612087	2
chr16	57476684	57477234	chr16.57476684.57477234	7
chr16	89171474	89171889	chr16.89171474.89171889	4
chr17	30226921	30227394	chr17.30226921.30227394	5
chr17	39973561	39973984	chr17.39973561.39973984	5
chr17	48908909	48909404	chr17.48908909.48909404	4
chr17	78879534	78880043	chr17.78879534.78880043	3
chr18	59908743	59909628	chr18.59908743.59909628	7
chr19	13216062	13216349	chr19.13216062.13216349	2
chr19	22596051	22596454	chr19.22596051.22596454	2
chr19	45195888	45196303	chr19.45195888.45196303	2
chr19	50468899	50469432	chr19.50468899.50469432	5
chr19	50513866	50515532	chr19.50513866.50515532	20
chr1	1678946	1679345	chr1.1678946.1679345	4
chr1	3494493	3495574	chr1.3494493.3495574	10
chr1	24713228	24713626	chr1.24713228.24713626	1
chr1	29259301	29260561	chr1.29259301.29260561	9
chr1	54776169	54776538	chr1.54776169.54776538	2
chr1	67850721	67851066	chr1.67850721.67851066	2
chr1	159830038	159830634	chr1.159830038.159830634	3
chr1	160884652	160885136	chr1.160884652.160885136	6
chr1	201786775	201787515	chr1.201786775.201787515	4
chr1	205937174	205937749	chr1.205937174.205937749	3
chr1	212694513	212694953	chr1.212694513.212694953	6
chr20	24949002	24949360	chr20.24949002.24949360	6
chr20	40982422	40983273	chr20.40982422.40983273	2
chr20	60330979	60331313	chr20.60330979.60331313	6
chr21	42553537	42553936	chr21.42553537.42553936	5
chr21	46291969	46292393	chr21.46291969.46292393	7
chr22	41480412	41480862	chr22.41480412.41480862	4
chr22	46293637	46294205	chr22.46293637.46294205	1
chr2	9690223	9690785	chr2.9690223.9690785	6
chr2	20180148	20180591	chr2.20180148.20180591	4
chr2	25166076	25166460	chr2.25166076.25166460	6
chr2	54940857	54941241	chr2.54940857.54941241	6
chr2	67824176	67824723	chr2.67824176.67824723	3
chr2	108938368	108938813	chr2.108938368.108938813	1
chr2	137173472	137174012	chr2.137173472.137174012	4
chr2	171491319	171492203	chr2.171491319.171492203	9
chr3	72596367	72596756	chr3.72596367.72596756	3
chr3	75687347	75687845	chr3.75687347.75687845	6
chr3	122610213	122610593	chr3.122610213.122610593	2
chr3	124409976	124410436	chr3.124409976.124410436	5
chr3	128950570	128950936	chr3.128950570.128950936	1
chr3	133480458	133480842	chr3.133480458.133480842	6
chr3	184459239	184459848	chr3.184459239.184459848	7
chr4	10010187	10010572	chr4.10010187.10010572	1
chr5	16897374	16897783	chr5.16897374.16897783	6
chr6	31122926	31123323	chr6.31122926.31123323	4
chr7	1165114	1165539	chr7.1165114.1165539	7
chr7	55345406	55345853	chr7.55345406.55345853	6
chr7	104967637	104968085	chr7.104967637.104968085	6
chr7	108596654	108597038	chr7.108596654.108597038	2
chr7	120583867	120584221	chr7.120583867.120584221	4
chr7	139875799	139876414	chr7.139875799.139876414	3
chr7	140656557	140657070	chr7.140656557.140657070	2
chr7	142461403	142462031	chr7.142461403.142462031	6
chr8	2792489	2792874	chr8.2792489.2792874	1
chr8	22768450	22769084	chr8.22768450.22769084	4
chr8	38417189	38417994	chr8.38417189.38417994	2
chr8	57802379	57802763	chr8.57802379.57802763	2
chr8	98658227	98658647	chr8.98658227.98658647	3
chr8	140797017	140797407	chr8.140797017.140797407	4
chr9	121440395	121440735	chr9.121440395.121440735	2
chr9	134863223	134864776	chr9.134863223.134864776	18
chrX	19082606	19083073	chrX.19082606.19083073	5
chrX	65995067	65995565	chrX.65995067.65995565	4
chrX	67904233	67904617	chrX.67904233.67904617	6
chrX	112738457	112738881	chrX.112738457.112738881	2
chrX	154431369	154431869	chrX.154431369.154431869	5
