chr	start	end	name	mutation_count
chr10	87212	87724	chr10.87212.87724	4
chr10	317325	317837	chr10.317325.317837	8
chr10	338308	339013	chr10.338308.339013	8
chr10	369780	370370	chr10.369780.370370	6
chr10	490836	491625	chr10.490836.491625	9
chr10	614902	615342	chr10.614902.615342	8
chr10	1403498	1403938	chr10.1403498.1403938	5
chr10	1489116	1489696	chr10.1489116.1489696	7
chr10	1612186	1612574	chr10.1612186.1612574	10
chr10	2949727	2950531	chr10.2949727.2950531	6
chr10	3043608	3044147	chr10.3043608.3044147	5
chr10	3074248	3074847	chr10.3074248.3074847	6
chr10	3106989	3108015	chr10.3106989.3108015	4
chr10	3225566	3225973	chr10.3225566.3225973	5
chr10	3452047	3452594	chr10.3452047.3452594	5
chr10	3525880	3526337	chr10.3525880.3526337	5
chr10	3763060	3763542	chr10.3763060.3763542	8
chr10	3898966	3899438	chr10.3898966.3899438	7
chr10	4174232	4174573	chr10.4174232.4174573	4
chr10	4246814	4247385	chr10.4246814.4247385	3
chr10	4733110	4733810	chr10.4733110.4733810	7
chr10	5496464	5497149	chr10.5496464.5497149	3
chr10	5548966	5549373	chr10.5548966.5549373	8
chr10	5861338	5861937	chr10.5861338.5861937	5
chr10	5934021	5934469	chr10.5934021.5934469	2
chr10	5971253	5971717	chr10.5971253.5971717	1
chr10	6157553	6158141	chr10.6157553.6158141	2
chr10	6279538	6280126	chr10.6279538.6280126	6
chr10	6297033	6297570	chr10.6297033.6297570	5
chr10	6365388	6365889	chr10.6365388.6365889	2
chr10	6491847	6492696	chr10.6491847.6492696	4
chr10	6501964	6502448	chr10.6501964.6502448	5
chr10	6737046	6737824	chr10.6737046.6737824	8
chr10	6779017	6779745	chr10.6779017.6779745	7
chr10	7180375	7180916	chr10.7180375.7180916	8
chr10	7264377	7264925	chr10.7264377.7264925	5
chr10	7529687	7530059	chr10.7529687.7530059	2
chr10	7797616	7797969	chr10.7797616.7797969	5
chr10	10321140	10321507	chr10.10321140.10321507	3
chr10	10805340	10805731	chr10.10805340.10805731	3
chr10	11035313	11035686	chr10.11035313.11035686	3
chr10	11499398	11499887	chr10.11499398.11499887	2
chr10	11699578	11700061	chr10.11699578.11700061	5
chr10	11710682	11711099	chr10.11710682.11711099	2
chr10	11719510	11719908	chr10.11719510.11719908	2
chr10	11853554	11853876	chr10.11853554.11853876	4
chr10	11881439	11881790	chr10.11881439.11881790	6
chr10	12252989	12253418	chr10.12252989.12253418	3
chr10	12404994	12405453	chr10.12404994.12405453	1
chr10	12448733	12449239	chr10.12448733.12449239	5
chr10	12605717	12606303	chr10.12605717.12606303	2
chr10	12782540	12782936	chr10.12782540.12782936	4
chr10	12785472	12786022	chr10.12785472.12786022	8
chr10	13219758	13220506	chr10.13219758.13220506	7
chr10	13288221	13288734	chr10.13288221.13288734	6
chr10	13340682	13341030	chr10.13340682.13341030	5
chr10	13352563	13352987	chr10.13352563.13352987	5
chr10	13404296	13404766	chr10.13404296.13404766	5
chr10	13415010	13415458	chr10.13415010.13415458	2
chr10	13417628	13418052	chr10.13417628.13418052	2
chr10	13717774	13718607	chr10.13717774.13718607	7
chr10	13786953	13787476	chr10.13786953.13787476	5
chr10	13945706	13946253	chr10.13945706.13946253	5
chr10	13987573	13988029	chr10.13987573.13988029	2
chr10	14184946	14186208	chr10.14184946.14186208	35
chr10	14712872	14713633	chr10.14712872.14713633	4
chr10	15334086	15334777	chr10.15334086.15334777	4
chr10	15661066	15661415	chr10.15661066.15661415	3
chr10	16570710	16571174	chr10.16570710.16571174	3
chr10	16891298	16892362	chr10.16891298.16892362	24
chr10	16901138	16901591	chr10.16901138.16901591	3
chr10	17002118	17002659	chr10.17002118.17002659	4
chr10	17217803	17218335	chr10.17217803.17218335	4
chr10	17764246	17764630	chr10.17764246.17764630	5
chr10	17835642	17836209	chr10.17835642.17836209	6
chr10	17990510	17990858	chr10.17990510.17990858	2
chr10	18414227	18414586	chr10.18414227.18414586	1
chr10	18735770	18736242	chr10.18735770.18736242	3
chr10	20598631	20599112	chr10.20598631.20599112	5
chr10	21020627	21020967	chr10.21020627.21020967	1
chr10	21171468	21171877	chr10.21171468.21171877	4
chr10	22244120	22244505	chr10.22244120.22244505	1
chr10	23053154	23053574	chr10.23053154.23053574	3
chr10	24814852	24815349	chr10.24814852.24815349	7
chr10	24873308	24873825	chr10.24873308.24873825	5
chr10	25062430	25062960	chr10.25062430.25062960	3
chr10	25493111	25493559	chr10.25493111.25493559	5
chr10	26503888	26504279	chr10.26503888.26504279	4
chr10	26931310	26931734	chr10.26931310.26931734	5
chr10	27192273	27192762	chr10.27192273.27192762	7
chr10	27390761	27391190	chr10.27390761.27391190	7
chr10	28411801	28412191	chr10.28411801.28412191	1
chr10	28502219	28502571	chr10.28502219.28502571	4
chr10	28503179	28503579	chr10.28503179.28503579	4
chr10	28592964	28593288	chr10.28592964.28593288	3
chr10	28734997	28735484	chr10.28734997.28735484	3
chr10	28984414	28984899	chr10.28984414.28984899	4
chr10	29009550	29010006	chr10.29009550.29010006	4
chr10	29026049	29026513	chr10.29026049.29026513	11
chr10	29063955	29065091	chr10.29063955.29065091	7
chr10	29163810	29164176	chr10.29163810.29164176	1
chr10	29239956	29240369	chr10.29239956.29240369	4
chr10	29582952	29583249	chr10.29582952.29583249	6
chr10	29839777	29840338	chr10.29839777.29840338	2
chr10	29862953	29863351	chr10.29862953.29863351	5
chr10	30013752	30014242	chr10.30013752.30014242	1
chr10	30365244	30365779	chr10.30365244.30365779	4
chr10	30553899	30554284	chr10.30553899.30554284	3
chr10	30638111	30638519	chr10.30638111.30638519	4
chr10	30828855	30829211	chr10.30828855.30829211	6
chr10	31101024	31101550	chr10.31101024.31101550	4
chr10	31384290	31384738	chr10.31384290.31384738	3
chr10	31972533	31973050	chr10.31972533.31973050	2
chr10	32413548	32414037	chr10.32413548.32414037	5
chr10	33032626	33033195	chr10.33032626.33033195	7
chr10	33066851	33067364	chr10.33066851.33067364	8
chr10	33612566	33613033	chr10.33612566.33613033	4
chr10	33927343	33927859	chr10.33927343.33927859	5
chr10	34008703	34009179	chr10.34008703.34009179	5
chr10	34288743	34289109	chr10.34288743.34289109	3
chr10	34305193	34305646	chr10.34305193.34305646	4
chr10	34575935	34576268	chr10.34575935.34576268	3
chr10	34978229	34978671	chr10.34978229.34978671	2
chr10	34994503	34995161	chr10.34994503.34995161	2
chr10	35300090	35300645	chr10.35300090.35300645	6
chr10	35470516	35470948	chr10.35470516.35470948	5
chr10	35574783	35575452	chr10.35574783.35575452	7
chr10	42475138	42476210	chr10.42475138.42476210	9
chr10	42544009	42544428	chr10.42544009.42544428	1
chr10	42926785	42927289	chr10.42926785.42927289	3
chr10	42951697	42952806	chr10.42951697.42952806	9
chr10	43110352	43111153	chr10.43110352.43111153	11
chr10	43371431	43371851	chr10.43371431.43371851	1
chr10	43809284	43809760	chr10.43809284.43809760	1
chr10	43816389	43816846	chr10.43816389.43816846	2
chr10	43855742	43856126	chr10.43855742.43856126	7
chr10	44233606	44234075	chr10.44233606.44234075	2
chr10	44752823	44753207	chr10.44752823.44753207	3
chr10	44809700	44810175	chr10.44809700.44810175	1
chr10	45061926	45062514	chr10.45061926.45062514	7
chr10	46228400	46229158	chr10.46228400.46229158	4
chr10	46586784	46587245	chr10.46586784.46587245	4
chr10	48337001	48337457	chr10.48337001.48337457	2
chr10	48480904	48481493	chr10.48480904.48481493	7
chr10	48497250	48497740	chr10.48497250.48497740	7
chr10	49001355	49001822	chr10.49001355.49001822	8
chr10	49165719	49166566	chr10.49165719.49166566	5
chr10	49173054	49174104	chr10.49173054.49174104	8
chr10	49362933	49363378	chr10.49362933.49363378	1
chr10	49379682	49380053	chr10.49379682.49380053	3
chr10	49408492	49408943	chr10.49408492.49408943	2
chr10	49410432	49410862	chr10.49410432.49410862	1
chr10	49418502	49419646	chr10.49418502.49419646	12
chr10	49552200	49552756	chr10.49552200.49552756	1
chr10	49679340	49679865	chr10.49679340.49679865	3
chr10	50407491	50407857	chr10.50407491.50407857	2
chr10	50850048	50850380	chr10.50850048.50850380	4
chr10	51867870	51868301	chr10.51867870.51868301	2
chr10	52443342	52444256	chr10.52443342.52444256	11
chr10	53022581	53023022	chr10.53022581.53023022	5
chr10	53786358	53786721	chr10.53786358.53786721	4
chr10	57703821	57704164	chr10.57703821.57704164	3
chr10	57964381	57964796	chr10.57964381.57964796	1
chr10	58662374	58662816	chr10.58662374.58662816	2
chr10	60204147	60204515	chr10.60204147.60204515	1
chr10	60663325	60663719	chr10.60663325.60663719	4
chr10	60914548	60915289	chr10.60914548.60915289	4
chr10	63976611	63977058	chr10.63976611.63977058	3
chr10	67306648	67307031	chr10.67306648.67307031	2
chr10	68093976	68094407	chr10.68093976.68094407	1
chr10	68796600	68797160	chr10.68796600.68797160	6
chr10	69362531	69363300	chr10.69362531.69363300	6
chr10	69650201	69650600	chr10.69650201.69650600	1
chr10	69801152	69801522	chr10.69801152.69801522	5
chr10	70090827	70091351	chr10.70090827.70091351	7
chr10	70274738	70275087	chr10.70274738.70275087	4
chr10	70357555	70358143	chr10.70357555.70358143	10
chr10	70493768	70494376	chr10.70493768.70494376	9
chr10	70595632	70596061	chr10.70595632.70596061	8
chr10	70742556	70742971	chr10.70742556.70742971	1
chr10	70890909	70891383	chr10.70890909.70891383	3
chr10	71075048	71075913	chr10.71075048.71075913	6
chr10	71176671	71177074	chr10.71176671.71177074	3
chr10	71528669	71529146	chr10.71528669.71529146	2
chr10	71613250	71613989	chr10.71613250.71613989	4
chr10	71623400	71623787	chr10.71623400.71623787	11
chr10	71648765	71649424	chr10.71648765.71649424	3
chr10	71836078	71836535	chr10.71836078.71836535	1
chr10	71837139	71837561	chr10.71837139.71837561	1
chr10	71838208	71838661	chr10.71838208.71838661	8
chr10	72027740	72028096	chr10.72027740.72028096	6
chr10	72317034	72317430	chr10.72317034.72317430	2
chr10	72328162	72328783	chr10.72328162.72328783	5
chr10	72764103	72764729	chr10.72764103.72764729	7
chr10	73480267	73480556	chr10.73480267.73480556	4
chr10	73650500	73650846	chr10.73650500.73650846	3
chr10	73815230	73815640	chr10.73815230.73815640	2
chr10	73889038	73889463	chr10.73889038.73889463	3
chr10	75262668	75263171	chr10.75262668.75263171	3
chr10	76082968	76083460	chr10.76082968.76083460	7
chr10	76103254	76103740	chr10.76103254.76103740	6
chr10	77082911	77083397	chr10.77082911.77083397	5
chr10	77371906	77372370	chr10.77371906.77372370	2
chr10	77416276	77417158	chr10.77416276.77417158	9
chr10	77606894	77607282	chr10.77606894.77607282	5
chr10	77861488	77861835	chr10.77861488.77861835	4
chr10	77907890	77908275	chr10.77907890.77908275	4
chr10	77974428	77974894	chr10.77974428.77974894	5
chr10	78134958	78135359	chr10.78134958.78135359	5
chr10	78263480	78263928	chr10.78263480.78263928	4
chr10	78336343	78336793	chr10.78336343.78336793	3
chr10	78406920	78407750	chr10.78406920.78407750	8
chr10	78416422	78416946	chr10.78416422.78416946	2
chr10	78502292	78502595	chr10.78502292.78502595	1
chr10	78960047	78960878	chr10.78960047.78960878	6
chr10	79116637	79117406	chr10.79116637.79117406	3
chr10	79286275	79286860	chr10.79286275.79286860	4
chr10	79294234	79294775	chr10.79294234.79294775	4
chr10	79298688	79299300	chr10.79298688.79299300	6
chr10	79321204	79321595	chr10.79321204.79321595	3
chr10	79467516	79467875	chr10.79467516.79467875	2
chr10	80196213	80197007	chr10.80196213.80197007	6
chr10	80500643	80501094	chr10.80500643.80501094	6
chr10	80855457	80855890	chr10.80855457.80855890	7
chr10	82742519	82742889	chr10.82742519.82742889	1
chr10	83012998	83013354	chr10.83012998.83013354	3
chr10	83764613	83765184	chr10.83764613.83765184	6
chr10	83925215	83925599	chr10.83925215.83925599	4
chr10	84179290	84179959	chr10.84179290.84179959	5
chr10	84204155	84204499	chr10.84204155.84204499	8
chr10	84341532	84341886	chr10.84341532.84341886	4
chr10	84587817	84588202	chr10.84587817.84588202	4
chr10	86139148	86139578	chr10.86139148.86139578	4
chr10	86261851	86262548	chr10.86261851.86262548	2
chr10	86334786	86335209	chr10.86334786.86335209	3
chr10	86966410	86967238	chr10.86966410.86967238	4
chr10	88150435	88150778	chr10.88150435.88150778	4
chr10	88651076	88651810	chr10.88651076.88651810	3
chr10	88791952	88792364	chr10.88791952.88792364	6
chr10	88792684	88793079	chr10.88792684.88793079	3
chr10	89481669	89482011	chr10.89481669.89482011	3
chr10	91349368	91349848	chr10.91349368.91349848	1
chr10	91552769	91553152	chr10.91552769.91553152	4
chr10	91590364	91590942	chr10.91590364.91590942	4
chr10	91591509	91591980	chr10.91591509.91591980	3
chr10	91701087	91701471	chr10.91701087.91701471	1
chr10	93160914	93161350	chr10.93160914.93161350	2
chr10	93267496	93267987	chr10.93267496.93267987	3
chr10	94006605	94007082	chr10.94006605.94007082	4
chr10	94108297	94108619	chr10.94108297.94108619	3
chr10	94194322	94194764	chr10.94194322.94194764	4
chr10	95235884	95236528	chr10.95235884.95236528	5
chr10	96341169	96341706	chr10.96341169.96341706	1
chr10	96345398	96345724	chr10.96345398.96345724	1
chr10	96448150	96448599	chr10.96448150.96448599	4
chr10	97025661	97026197	chr10.97025661.97026197	3
chr10	97312988	97313327	chr10.97312988.97313327	2
chr10	97517815	97518741	chr10.97517815.97518741	9
chr10	97531485	97531973	chr10.97531485.97531973	4
chr10	97631131	97631469	chr10.97631131.97631469	4
chr10	97960479	97961000	chr10.97960479.97961000	1
chr10	98361171	98361816	chr10.98361171.98361816	1
chr10	98434329	98434753	chr10.98434329.98434753	5
chr10	98778348	98778685	chr10.98778348.98778685	5
chr10	99850128	99850513	chr10.99850128.99850513	5
chr10	99966326	99966788	chr10.99966326.99966788	8
chr10	100326944	100327845	chr10.100326944.100327845	10
chr10	100339243	100339694	chr10.100339243.100339694	6
chr10	100342385	100342898	chr10.100342385.100342898	3
chr10	101028808	101029413	chr10.101028808.101029413	2
chr10	101380653	101381059	chr10.101380653.101381059	2
chr10	102455806	102456325	chr10.102455806.102456325	2
chr10	103467552	103468046	chr10.103467552.103468046	5
chr10	103800848	103801296	chr10.103800848.103801296	5
chr10	104059316	104059714	chr10.104059316.104059714	2
chr10	104331316	104332069	chr10.104331316.104332069	8
chr10	104492425	104492777	chr10.104492425.104492777	4
chr10	104581959	104582537	chr10.104581959.104582537	4
chr10	104589595	104590370	chr10.104589595.104590370	10
chr10	106360797	106361422	chr10.106360797.106361422	6
chr10	107814886	107815258	chr10.107814886.107815258	3
chr10	109914902	109915384	chr10.109914902.109915384	3
chr10	109977570	109977956	chr10.109977570.109977956	2
chr10	110487336	110487863	chr10.110487336.110487863	8
chr10	110557084	110557541	chr10.110557084.110557541	2
chr10	110802660	110803113	chr10.110802660.110803113	4
chr10	112804069	112804912	chr10.112804069.112804912	5
chr10	113454512	113454882	chr10.113454512.113454882	1
chr10	114246854	114247482	chr10.114246854.114247482	6
chr10	114279906	114280433	chr10.114279906.114280433	5
chr10	114306679	114307095	chr10.114306679.114307095	3
chr10	114541478	114541913	chr10.114541478.114541913	5
chr10	114879544	114880024	chr10.114879544.114880024	5
chr10	116470864	116471187	chr10.116470864.116471187	1
chr10	118692941	118693402	chr10.118692941.118693402	6
chr10	119020583	119021048	chr10.119020583.119021048	5
chr10	119198487	119198893	chr10.119198487.119198893	3
chr10	119315115	119315505	chr10.119315115.119315505	2
chr10	119449816	119450713	chr10.119449816.119450713	5
chr10	119451077	119451589	chr10.119451077.119451589	3
chr10	119461218	119461868	chr10.119461218.119461868	10
chr10	119663825	119664294	chr10.119663825.119664294	4
chr10	120048419	120048848	chr10.120048419.120048848	5
chr10	120077794	120078323	chr10.120077794.120078323	4
chr10	120127620	120128298	chr10.120127620.120128298	4
chr10	120387384	120387781	chr10.120387384.120387781	3
chr10	120586379	120586846	chr10.120586379.120586846	6
chr10	120644919	120645522	chr10.120644919.120645522	6
chr10	121696950	121697391	chr10.121696950.121697391	6
chr10	122178793	122179229	chr10.122178793.122179229	4
chr10	122442029	122442361	chr10.122442029.122442361	1
chr10	122648725	122649175	chr10.122648725.122649175	4
chr10	122850312	122850743	chr10.122850312.122850743	2
chr10	123109568	123109940	chr10.123109568.123109940	4
chr10	123391793	123392964	chr10.123391793.123392964	10
chr10	123573160	123573701	chr10.123573160.123573701	6
chr10	123678384	123678769	chr10.123678384.123678769	2
chr10	123808951	123809309	chr10.123808951.123809309	4
chr10	124035832	124036496	chr10.124035832.124036496	5
chr10	124064798	124065097	chr10.124064798.124065097	6
chr10	124238390	124238849	chr10.124238390.124238849	3
chr10	124465386	124465724	chr10.124465386.124465724	3
chr10	124628084	124628646	chr10.124628084.124628646	3
chr10	126014010	126014408	chr10.126014010.126014408	4
chr10	126663361	126663773	chr10.126663361.126663773	2
chr10	126867532	126868116	chr10.126867532.126868116	10
chr10	126969377	126969770	chr10.126969377.126969770	2
chr10	127041501	127042081	chr10.127041501.127042081	8
chr10	127563931	127564316	chr10.127563931.127564316	2
chr10	127649757	127650154	chr10.127649757.127650154	1
chr10	128130116	128130586	chr10.128130116.128130586	7
chr10	128629398	128630116	chr10.128629398.128630116	5
chr10	128739987	128740337	chr10.128739987.128740337	9
chr10	128859829	128860217	chr10.128859829.128860217	7
chr10	129545293	129545688	chr10.129545293.129545688	3
chr10	130018327	130018725	chr10.130018327.130018725	8
chr10	130022637	130023108	chr10.130022637.130023108	4
chr10	130105688	130106202	chr10.130105688.130106202	5
chr10	130109737	130110174	chr10.130109737.130110174	2
chr10	130929645	130930598	chr10.130929645.130930598	13
chr10	131088598	131089010	chr10.131088598.131089010	6
chr10	131242048	131242467	chr10.131242048.131242467	7
chr10	131569849	131570387	chr10.131569849.131570387	4
chr10	131621806	131622758	chr10.131621806.131622758	30
chr10	131641238	131641769	chr10.131641238.131641769	8
chr10	131888164	131888761	chr10.131888164.131888761	6
chr10	132335185	132336092	chr10.132335185.132336092	6
chr10	132418831	132419405	chr10.132418831.132419405	3
chr10	132457690	132458119	chr10.132457690.132458119	10
chr10	132563765	132564459	chr10.132563765.132564459	6
chr10	132700220	132701315	chr10.132700220.132701315	7
chr10	133390066	133390508	chr10.133390066.133390508	5
chr11	327039	327456	chr11.327039.327456	3
chr11	353347	353702	chr11.353347.353702	3
chr11	359272	359681	chr11.359272.359681	5
chr11	390185	390619	chr11.390185.390619	3
chr11	456606	457134	chr11.456606.457134	4
chr11	662824	663172	chr11.662824.663172	4
chr11	665700	666319	chr11.665700.666319	4
chr11	690959	691479	chr11.690959.691479	10
chr11	702831	703382	chr11.702831.703382	5
chr11	704844	705374	chr11.704844.705374	5
chr11	762812	763206	chr11.762812.763206	3
chr11	838370	839044	chr11.838370.839044	9
chr11	898650	899040	chr11.898650.899040	3
