chr	start	end	name	mutation_count
chr10	3102923	3103436	chr10.3102923.3103436	5
chr10	43452138	43452542	chr10.43452138.43452542	4
chr10	43679586	43680015	chr10.43679586.43680015	2
chr10	58017651	58018174	chr10.58017651.58018174	3
chr10	60964164	60964609	chr10.60964164.60964609	3
chr10	84523580	84524007	chr10.84523580.84524007	1
chr10	110802660	110803113	chr10.110802660.110803113	4
chr11	3279012	3279362	chr11.3279012.3279362	2
chr11	3324898	3325247	chr11.3324898.3325247	2
chr11	72454859	72455224	chr11.72454859.72455224	1
chr12	51395416	51396139	chr12.51395416.51396139	6
chr12	78915056	78915538	chr12.78915056.78915538	3
chr12	104671755	104672188	chr12.104671755.104672188	3
chr14	64772431	64772949	chr14.64772431.64772949	2
chr14	92386680	92387096	chr14.92386680.92387096	3
chr15	32659480	32660008	chr15.32659480.32660008	2
chr15	40266401	40267514	chr15.40266401.40267514	4
chr15	59622349	59622813	chr15.59622349.59622813	1
chr15	60427207	60427576	chr15.60427207.60427576	2
chr15	64378424	64378879	chr15.64378424.64378879	4
chr15	68617051	68617422	chr15.68617051.68617422	5
chr15	99512079	99512484	chr15.99512079.99512484	1
chr16	405670	406264	chr16.405670.406264	6
chr16	11327307	11327852	chr16.11327307.11327852	2
chr16	51228225	51228769	chr16.51228225.51228769	5
chr16	68802257	68802665	chr16.68802257.68802665	5
chr16	87713570	87714199	chr16.87713570.87714199	5
chr16	89322374	89323342	chr16.89322374.89323342	14
chr17	3558539	3559250	chr17.3558539.3559250	11
chr17	3773640	3773994	chr17.3773640.3773994	3
chr17	9905939	9906332	chr17.9905939.9906332	4
chr17	18259686	18260112	chr17.18259686.18260112	2
chr17	19719395	19719772	chr17.19719395.19719772	5
chr17	40295774	40296297	chr17.40295774.40296297	1
chr17	79745584	79745991	chr17.79745584.79745991	3
chr18	63470640	63471306	chr18.63470640.63471306	7
chr18	74976358	74976815	chr18.74976358.74976815	4
chr19	12757421	12758347	chr19.12757421.12758347	3
chr19	13986473	13986921	chr19.13986473.13986921	4
chr19	42051587	42051930	chr19.42051587.42051930	1
chr1	5551603	5551997	chr1.5551603.5551997	5
chr1	11731681	11732199	chr1.11731681.11732199	5
chr1	25233172	25233632	chr1.25233172.25233632	5
chr1	46221905	46222432	chr1.46221905.46222432	4
chr1	107530533	107531070	chr1.107530533.107531070	5
chr1	178538534	178539069	chr1.178538534.178539069	4
chr1	207282035	207282549	chr1.207282035.207282549	2
chr20	46459153	46459705	chr20.46459153.46459705	4
chr20	46592584	46593078	chr20.46592584.46593078	1
chr20	57034013	57034506	chr20.57034013.57034506	2
chr20	63010255	63010796	chr20.63010255.63010796	6
chr22	20270759	20271210	chr22.20270759.20271210	19
chr22	43901998	43902774	chr22.43901998.43902774	9
chr22	45832198	45832621	chr22.45832198.45832621	1
chr2	18585543	18586213	chr2.18585543.18586213	7
chr2	33810057	33810582	chr2.33810057.33810582	5
chr2	43210509	43210977	chr2.43210509.43210977	7
chr2	71460858	71461389	chr2.71460858.71461389	1
chr2	82837961	82838296	chr2.82837961.82838296	3
chr2	83103539	83104308	chr2.83103539.83104308	7
chr2	95333451	95334511	chr2.95333451.95334511	8
chr2	112150467	112151018	chr2.112150467.112151018	4
chr2	133390223	133390633	chr2.133390223.133390633	3
chr2	177168307	177168805	chr2.177168307.177168805	3
chr2	237213565	237214156	chr2.237213565.237214156	3
chr2	240839271	240839703	chr2.240839271.240839703	6
chr3	46545777	46546368	chr3.46545777.46546368	3
chr3	50274275	50275000	chr3.50274275.50275000	4
chr3	52028708	52029068	chr3.52028708.52029068	3
chr3	93969465	93969823	chr3.93969465.93969823	3
chr3	138079042	138079544	chr3.138079042.138079544	3
chr3	153513262	153513642	chr3.153513262.153513642	1
chr4	11496285	11496835	chr4.11496285.11496835	5
chr4	46648091	46648622	chr4.46648091.46648622	7
chr4	140037394	140037834	chr4.140037394.140037834	1
chr4	153024042	153024520	chr4.153024042.153024520	6
chr5	10267691	10268118	chr5.10267691.10268118	3
chr5	18466079	18466673	chr5.18466079.18466673	7
chr5	71714917	71715358	chr5.71714917.71715358	3
chr5	74579152	74579635	chr5.74579152.74579635	6
chr5	90161467	90161918	chr5.90161467.90161918	3
chr5	116289282	116289762	chr5.116289282.116289762	3
chr5	130871267	130871966	chr5.130871267.130871966	2
chr5	173714668	173715111	chr5.173714668.173715111	3
chr6	5112477	5112994	chr6.5112477.5112994	10
chr6	11236447	11236888	chr6.11236447.11236888	2
chr6	11833865	11834633	chr6.11833865.11834633	5
chr6	17167401	17167823	chr6.17167401.17167823	1
chr6	56440438	56440793	chr6.56440438.56440793	2
chr6	89297946	89298424	chr6.89297946.89298424	5
chr6	106490506	106490930	chr6.106490506.106490930	2
chr6	109139044	109139493	chr6.109139044.109139493	4
chr7	6926294	6927296	chr7.6926294.6927296	13
chr7	17372245	17372598	chr7.17372245.17372598	1
chr7	23273162	23273754	chr7.23273162.23273754	5
chr7	116630941	116631438	chr7.116630941.116631438	1
chr7	121313431	121314619	chr7.121313431.121314619	8
chr7	149558335	149559016	chr7.149558335.149559016	4
chr8	1840813	1841244	chr8.1840813.1841244	5
chr8	6900804	6901410	chr8.6900804.6901410	10
chr8	11197366	11197823	chr8.11197366.11197823	6
chr8	30699948	30700414	chr8.30699948.30700414	3
chr8	41865020	41865383	chr8.41865020.41865383	4
chr8	52695385	52695800	chr8.52695385.52695800	3
chr8	122828167	122828897	chr8.122828167.122828897	1
chr8	127899270	127899893	chr8.127899270.127899893	8
chr8	129999138	129999596	chr8.129999138.129999596	3
chr9	7394134	7394440	chr9.7394134.7394440	10
chr9	35760715	35761149	chr9.35760715.35761149	4
chr9	69207513	69208015	chr9.69207513.69208015	1
chr9	85332526	85332987	chr9.85332526.85332987	4
chr9	97059606	97060094	chr9.97059606.97060094	4
chr9	130197914	130198310	chr9.130197914.130198310	5
chrX	10486460	10486803	chrX.10486460.10486803	2
chrX	40197064	40197506	chrX.40197064.40197506	3
chrX	121047376	121047772	chrX.121047376.121047772	2
chrX	129748271	129748773	chrX.129748271.129748773	2
chrX	153071934	153072655	chrX.153071934.153072655	4
chrX	154600273	154600834	chrX.154600273.154600834	9
