chr	start	end	name	mutation_count
chr10	3102923	3103436	chr10.3102923.3103436	5
chr10	15084499	15084955	chr10.15084499.15084955	1
chr10	43452138	43452542	chr10.43452138.43452542	4
chr10	43679586	43680015	chr10.43679586.43680015	2
chr10	43872776	43873236	chr10.43872776.43873236	1
chr10	58017651	58018174	chr10.58017651.58018174	3
chr10	60964164	60964609	chr10.60964164.60964609	3
chr10	69494599	69495180	chr10.69494599.69495180	5
chr10	73495953	73496324	chr10.73495953.73496324	1
chr10	84523580	84524007	chr10.84523580.84524007	1
chr10	97631131	97631469	chr10.97631131.97631469	4
chr10	104292982	104293461	chr10.104292982.104293461	3
chr10	110802660	110803113	chr10.110802660.110803113	4
chr10	120586379	120586846	chr10.120586379.120586846	6
chr11	1452099	1452562	chr11.1452099.1452562	3
chr11	3279012	3279362	chr11.3279012.3279362	2
chr11	3324898	3325247	chr11.3324898.3325247	2
chr11	60251509	60251950	chr11.60251509.60251950	6
chr11	62567213	62567730	chr11.62567213.62567730	3
chr11	65266167	65266691	chr11.65266167.65266691	3
chr11	72454859	72455224	chr11.72454859.72455224	1
chr12	2294692	2295199	chr12.2294692.2295199	3
chr12	5441023	5441408	chr12.5441023.5441408	2
chr12	50079774	50080286	chr12.50079774.50080286	3
chr12	51395416	51396139	chr12.51395416.51396139	6
chr12	57093924	57094463	chr12.57093924.57094463	3
chr12	65126061	65126491	chr12.65126061.65126491	2
chr12	78915056	78915538	chr12.78915056.78915538	3
chr12	104671755	104672188	chr12.104671755.104672188	3
chr12	109779301	109780091	chr12.109779301.109780091	6
chr12	122130217	122130732	chr12.122130217.122130732	2
chr13	19364659	19364959	chr13.19364659.19364959	3
chr13	30241594	30242021	chr13.30241594.30242021	3
chr13	71431372	71431811	chr13.71431372.71431811	3
chr13	111503899	111504284	chr13.111503899.111504284	4
chr13	113508488	113508912	chr13.113508488.113508912	2
chr14	20440827	20441298	chr14.20440827.20441298	8
chr14	64772431	64772949	chr14.64772431.64772949	2
chr14	92386680	92387096	chr14.92386680.92387096	3
chr14	96166117	96166478	chr14.96166117.96166478	1
chr14	101055813	101056341	chr14.101055813.101056341	5
chr15	32659480	32660008	chr15.32659480.32660008	2
chr15	40266401	40267514	chr15.40266401.40267514	4
chr15	59622349	59622813	chr15.59622349.59622813	1
chr15	60427207	60427576	chr15.60427207.60427576	2
chr15	64378424	64378879	chr15.64378424.64378879	4
chr15	68617051	68617422	chr15.68617051.68617422	5
chr15	99512079	99512484	chr15.99512079.99512484	1
chr16	405670	406264	chr16.405670.406264	6
chr16	2430391	2430788	chr16.2430391.2430788	4
chr16	2510095	2510443	chr16.2510095.2510443	4
chr16	3100094	3100533	chr16.3100094.3100533	2
chr16	11327307	11327852	chr16.11327307.11327852	2
chr16	21611746	21612087	chr16.21611746.21612087	2
chr16	51228225	51228769	chr16.51228225.51228769	5
chr16	57476684	57477234	chr16.57476684.57477234	7
chr16	68802257	68802665	chr16.68802257.68802665	5
chr16	87713570	87714199	chr16.87713570.87714199	5
chr16	89171474	89171889	chr16.89171474.89171889	4
chr16	89322374	89323342	chr16.89322374.89323342	14
chr17	3558539	3559250	chr17.3558539.3559250	11
chr17	3773640	3773994	chr17.3773640.3773994	3
chr17	9905939	9906332	chr17.9905939.9906332	4
chr17	18259686	18260112	chr17.18259686.18260112	2
chr17	19719395	19719772	chr17.19719395.19719772	5
chr17	30226921	30227394	chr17.30226921.30227394	5
chr17	39973561	39973984	chr17.39973561.39973984	5
chr17	40295774	40296297	chr17.40295774.40296297	1
chr17	48908909	48909404	chr17.48908909.48909404	4
chr17	78879534	78880043	chr17.78879534.78880043	3
chr17	79745584	79745991	chr17.79745584.79745991	3
chr18	59908743	59909628	chr18.59908743.59909628	7
chr18	63470640	63471306	chr18.63470640.63471306	7
chr18	74976358	74976815	chr18.74976358.74976815	4
chr19	12757421	12758347	chr19.12757421.12758347	3
chr19	13216062	13216349	chr19.13216062.13216349	2
chr19	13986473	13986921	chr19.13986473.13986921	4
chr19	22596051	22596454	chr19.22596051.22596454	2
chr19	42051587	42051930	chr19.42051587.42051930	1
chr19	45195888	45196303	chr19.45195888.45196303	2
chr19	50468899	50469432	chr19.50468899.50469432	5
chr19	50513866	50515532	chr19.50513866.50515532	20
chr1	1678946	1679345	chr1.1678946.1679345	4
chr1	3494493	3495574	chr1.3494493.3495574	10
chr1	5551603	5551997	chr1.5551603.5551997	5
chr1	11731681	11732199	chr1.11731681.11732199	5
chr1	24713228	24713626	chr1.24713228.24713626	1
chr1	25233172	25233632	chr1.25233172.25233632	5
chr1	29259301	29260561	chr1.29259301.29260561	9
chr1	46221905	46222432	chr1.46221905.46222432	4
chr1	54776169	54776538	chr1.54776169.54776538	2
chr1	67850721	67851066	chr1.67850721.67851066	2
chr1	107530533	107531070	chr1.107530533.107531070	5
chr1	159830038	159830634	chr1.159830038.159830634	3
chr1	160884652	160885136	chr1.160884652.160885136	6
chr1	178538534	178539069	chr1.178538534.178539069	4
chr1	201786775	201787515	chr1.201786775.201787515	4
chr1	205937174	205937749	chr1.205937174.205937749	3
chr1	207282035	207282549	chr1.207282035.207282549	2
chr1	212694513	212694953	chr1.212694513.212694953	6
chr20	24949002	24949360	chr20.24949002.24949360	6
chr20	40982422	40983273	chr20.40982422.40983273	2
chr20	46459153	46459705	chr20.46459153.46459705	4
chr20	46592584	46593078	chr20.46592584.46593078	1
chr20	57034013	57034506	chr20.57034013.57034506	2
chr20	60330979	60331313	chr20.60330979.60331313	6
chr20	63010255	63010796	chr20.63010255.63010796	6
chr21	42553537	42553936	chr21.42553537.42553936	5
chr21	46291969	46292393	chr21.46291969.46292393	7
chr22	20270759	20271210	chr22.20270759.20271210	19
chr22	41480412	41480862	chr22.41480412.41480862	4
chr22	43901998	43902774	chr22.43901998.43902774	9
chr22	45832198	45832621	chr22.45832198.45832621	1
chr22	46293637	46294205	chr22.46293637.46294205	1
chr2	9690223	9690785	chr2.9690223.9690785	6
chr2	18585543	18586213	chr2.18585543.18586213	7
chr2	20180148	20180591	chr2.20180148.20180591	4
chr2	25166076	25166460	chr2.25166076.25166460	6
chr2	33810057	33810582	chr2.33810057.33810582	5
chr2	43210509	43210977	chr2.43210509.43210977	7
chr2	54940857	54941241	chr2.54940857.54941241	6
chr2	67824176	67824723	chr2.67824176.67824723	3
chr2	71460858	71461389	chr2.71460858.71461389	1
chr2	82837961	82838296	chr2.82837961.82838296	3
chr2	83103539	83104308	chr2.83103539.83104308	7
chr2	95333451	95334511	chr2.95333451.95334511	8
chr2	108938368	108938813	chr2.108938368.108938813	1
chr2	112150467	112151018	chr2.112150467.112151018	4
