chr	start	end	name	mutation_count
chr10	87212	87724	chr10.87212.87724	4
chr10	201673	201967	chr10.201673.201967	5
chr10	279529	280054	chr10.279529.280054	7
chr10	280543	280928	chr10.280543.280928	4
chr10	306668	307438	chr10.306668.307438	1
chr10	317325	317837	chr10.317325.317837	8
chr10	338308	339013	chr10.338308.339013	8
chr10	369780	370370	chr10.369780.370370	6
chr10	490836	491625	chr10.490836.491625	9
chr10	614902	615342	chr10.614902.615342	8
chr10	936701	937112	chr10.936701.937112	3
chr10	1037047	1037494	chr10.1037047.1037494	8
chr10	1403498	1403938	chr10.1403498.1403938	5
chr10	1489116	1489696	chr10.1489116.1489696	7
chr10	1594829	1595370	chr10.1594829.1595370	7
chr10	1612186	1612574	chr10.1612186.1612574	10
chr10	1648766	1649199	chr10.1648766.1649199	3
chr10	2922039	2922731	chr10.2922039.2922731	6
chr10	2949727	2950531	chr10.2949727.2950531	6
chr10	2980805	2981836	chr10.2980805.2981836	7
chr10	3043608	3044147	chr10.3043608.3044147	5
chr10	3074248	3074847	chr10.3074248.3074847	6
chr10	3106989	3108015	chr10.3106989.3108015	4
chr10	3225566	3225973	chr10.3225566.3225973	5
chr10	3452047	3452594	chr10.3452047.3452594	5
chr10	3525880	3526337	chr10.3525880.3526337	5
chr10	3763060	3763542	chr10.3763060.3763542	8
chr10	3898966	3899438	chr10.3898966.3899438	7
chr10	4174232	4174573	chr10.4174232.4174573	4
chr10	4246814	4247385	chr10.4246814.4247385	3
chr10	4733110	4733810	chr10.4733110.4733810	7
chr10	4834082	4834594	chr10.4834082.4834594	3
chr10	5496464	5497149	chr10.5496464.5497149	3
chr10	5518169	5518741	chr10.5518169.5518741	6
chr10	5548966	5549373	chr10.5548966.5549373	8
chr10	5556615	5557231	chr10.5556615.5557231	10
chr10	5559409	5560187	chr10.5559409.5560187	4
chr10	5582803	5583275	chr10.5582803.5583275	9
chr10	5852378	5852939	chr10.5852378.5852939	6
chr10	5861338	5861937	chr10.5861338.5861937	5
chr10	5910410	5910834	chr10.5910410.5910834	2
chr10	5934021	5934469	chr10.5934021.5934469	2
chr10	5971253	5971717	chr10.5971253.5971717	1
chr10	6120036	6120556	chr10.6120036.6120556	7
chr10	6157553	6158141	chr10.6157553.6158141	2
chr10	6279538	6280126	chr10.6279538.6280126	6
chr10	6297033	6297570	chr10.6297033.6297570	5
chr10	6365388	6365889	chr10.6365388.6365889	2
chr10	6491847	6492696	chr10.6491847.6492696	4
chr10	6501964	6502448	chr10.6501964.6502448	5
chr10	6737046	6737824	chr10.6737046.6737824	8
chr10	6779017	6779745	chr10.6779017.6779745	7
chr10	7180375	7180916	chr10.7180375.7180916	8
chr10	7233717	7234236	chr10.7233717.7234236	5
chr10	7264377	7264925	chr10.7264377.7264925	5
chr10	7529687	7530059	chr10.7529687.7530059	2
chr10	7797616	7797969	chr10.7797616.7797969	5
chr10	8153900	8154432	chr10.8153900.8154432	6
chr10	10321140	10321507	chr10.10321140.10321507	3
chr10	10528306	10528818	chr10.10528306.10528818	2
chr10	10805340	10805731	chr10.10805340.10805731	3
chr10	11035313	11035686	chr10.11035313.11035686	3
chr10	11341299	11341763	chr10.11341299.11341763	5
chr10	11499398	11499887	chr10.11499398.11499887	2
chr10	11699578	11700061	chr10.11699578.11700061	5
chr10	11710682	11711099	chr10.11710682.11711099	2
chr10	11715943	11716634	chr10.11715943.11716634	4
chr10	11719510	11719908	chr10.11719510.11719908	2
chr10	11853554	11853876	chr10.11853554.11853876	4
chr10	11881439	11881790	chr10.11881439.11881790	6
chr10	12252989	12253418	chr10.12252989.12253418	3
chr10	12404994	12405453	chr10.12404994.12405453	1
chr10	12448733	12449239	chr10.12448733.12449239	5
chr10	12588149	12588589	chr10.12588149.12588589	2
chr10	12605717	12606303	chr10.12605717.12606303	2
chr10	12725546	12725949	chr10.12725546.12725949	3
chr10	12782540	12782936	chr10.12782540.12782936	4
chr10	12785472	12786022	chr10.12785472.12786022	8
chr10	12898136	12898919	chr10.12898136.12898919	10
chr10	13219758	13220506	chr10.13219758.13220506	7
chr10	13288221	13288734	chr10.13288221.13288734	6
chr10	13340682	13341030	chr10.13340682.13341030	5
chr10	13352563	13352987	chr10.13352563.13352987	5
chr10	13404296	13404766	chr10.13404296.13404766	5
chr10	13415010	13415458	chr10.13415010.13415458	2
chr10	13417628	13418052	chr10.13417628.13418052	2
chr10	13698154	13698922	chr10.13698154.13698922	12
chr10	13717774	13718607	chr10.13717774.13718607	7
chr10	13786953	13787476	chr10.13786953.13787476	5
chr10	13945706	13946253	chr10.13945706.13946253	5
chr10	13987573	13988029	chr10.13987573.13988029	2
chr10	14126602	14127371	chr10.14126602.14127371	7
chr10	14184946	14186208	chr10.14184946.14186208	35
chr10	14554232	14554963	chr10.14554232.14554963	6
chr10	14686492	14686961	chr10.14686492.14686961	4
chr10	14687363	14687800	chr10.14687363.14687800	6
chr10	14712872	14713633	chr10.14712872.14713633	4
chr10	15334086	15334777	chr10.15334086.15334777	4
chr10	15661066	15661415	chr10.15661066.15661415	3
chr10	15905326	15905665	chr10.15905326.15905665	3
chr10	16570710	16571174	chr10.16570710.16571174	3
chr10	16867627	16868064	chr10.16867627.16868064	2
chr10	16891298	16892362	chr10.16891298.16892362	24
chr10	16901138	16901591	chr10.16901138.16901591	3
chr10	17002118	17002659	chr10.17002118.17002659	4
chr10	17217803	17218335	chr10.17217803.17218335	4
chr10	17764246	17764630	chr10.17764246.17764630	5
chr10	17835642	17836209	chr10.17835642.17836209	6
chr10	17990510	17990858	chr10.17990510.17990858	2
chr10	18414227	18414586	chr10.18414227.18414586	1
chr10	18735770	18736242	chr10.18735770.18736242	3
chr10	20598631	20599112	chr10.20598631.20599112	5
chr10	21020627	21020967	chr10.21020627.21020967	1
chr10	21083829	21084403	chr10.21083829.21084403	12
chr10	21171468	21171877	chr10.21171468.21171877	4
chr10	21208796	21209213	chr10.21208796.21209213	1
chr10	21427812	21428381	chr10.21427812.21428381	5
chr10	22244120	22244505	chr10.22244120.22244505	1
chr10	22853970	22854421	chr10.22853970.22854421	1
chr10	23053154	23053574	chr10.23053154.23053574	3
chr10	24814852	24815349	chr10.24814852.24815349	7
chr10	24873308	24873825	chr10.24873308.24873825	5
chr10	25062430	25062960	chr10.25062430.25062960	3
chr10	25493111	25493559	chr10.25493111.25493559	5
chr10	26485155	26485953	chr10.26485155.26485953	7
chr10	26503888	26504279	chr10.26503888.26504279	4
chr10	26931310	26931734	chr10.26931310.26931734	5
chr10	27192273	27192762	chr10.27192273.27192762	7
chr10	27390761	27391190	chr10.27390761.27391190	7
chr10	27611277	27611682	chr10.27611277.27611682	1
chr10	28411801	28412191	chr10.28411801.28412191	1
chr10	28502219	28502571	chr10.28502219.28502571	4
chr10	28503179	28503579	chr10.28503179.28503579	4
chr10	28592964	28593288	chr10.28592964.28593288	3
chr10	28734997	28735484	chr10.28734997.28735484	3
chr10	28875498	28876010	chr10.28875498.28876010	3
chr10	28984414	28984899	chr10.28984414.28984899	4
chr10	29009550	29010006	chr10.29009550.29010006	4
chr10	29026049	29026513	chr10.29026049.29026513	11
chr10	29063955	29065091	chr10.29063955.29065091	7
chr10	29163810	29164176	chr10.29163810.29164176	1
chr10	29239956	29240369	chr10.29239956.29240369	4
chr10	29582952	29583249	chr10.29582952.29583249	6
chr10	29839777	29840338	chr10.29839777.29840338	2
chr10	29862953	29863351	chr10.29862953.29863351	5
chr10	30013752	30014242	chr10.30013752.30014242	1
chr10	30365244	30365779	chr10.30365244.30365779	4
chr10	30553899	30554284	chr10.30553899.30554284	3
chr10	30638111	30638519	chr10.30638111.30638519	4
chr10	30828855	30829211	chr10.30828855.30829211	6
chr10	30857864	30858342	chr10.30857864.30858342	2
chr10	31101024	31101550	chr10.31101024.31101550	4
chr10	31384290	31384738	chr10.31384290.31384738	3
chr10	31972533	31973050	chr10.31972533.31973050	2
chr10	32413548	32414037	chr10.32413548.32414037	5
chr10	32983338	32983871	chr10.32983338.32983871	3
chr10	33032626	33033195	chr10.33032626.33033195	7
chr10	33066851	33067364	chr10.33066851.33067364	8
chr10	33612566	33613033	chr10.33612566.33613033	4
chr10	33927343	33927859	chr10.33927343.33927859	5
chr10	34008703	34009179	chr10.34008703.34009179	5
chr10	34288743	34289109	chr10.34288743.34289109	3
chr10	34305193	34305646	chr10.34305193.34305646	4
chr10	34575935	34576268	chr10.34575935.34576268	3
chr10	34978229	34978671	chr10.34978229.34978671	2
chr10	34994503	34995161	chr10.34994503.34995161	2
chr10	35300090	35300645	chr10.35300090.35300645	6
chr10	35470516	35470948	chr10.35470516.35470948	5
chr10	35574783	35575452	chr10.35574783.35575452	7
chr10	36675490	36676028	chr10.36675490.36676028	3
chr10	42475138	42476210	chr10.42475138.42476210	9
chr10	42544009	42544428	chr10.42544009.42544428	1
chr10	42768012	42768374	chr10.42768012.42768374	3
chr10	42926785	42927289	chr10.42926785.42927289	3
chr10	42951697	42952806	chr10.42951697.42952806	9
chr10	43110352	43111153	chr10.43110352.43111153	11
chr10	43208892	43209584	chr10.43208892.43209584	5
chr10	43354339	43354772	chr10.43354339.43354772	3
chr10	43371431	43371851	chr10.43371431.43371851	1
chr10	43775372	43775919	chr10.43775372.43775919	4
chr10	43809284	43809760	chr10.43809284.43809760	1
chr10	43816389	43816846	chr10.43816389.43816846	2
chr10	43855742	43856126	chr10.43855742.43856126	7
chr10	44233606	44234075	chr10.44233606.44234075	2
chr10	44287362	44287768	chr10.44287362.44287768	4
chr10	44752823	44753207	chr10.44752823.44753207	3
chr10	44809700	44810175	chr10.44809700.44810175	1
chr10	44821335	44821812	chr10.44821335.44821812	6
chr10	45061926	45062514	chr10.45061926.45062514	7
chr10	45308799	45309191	chr10.45308799.45309191	1
chr10	45420572	45420962	chr10.45420572.45420962	2
chr10	46228400	46229158	chr10.46228400.46229158	4
chr10	46441801	46442372	chr10.46441801.46442372	8
chr10	46586784	46587245	chr10.46586784.46587245	4
chr10	47135821	47136391	chr10.47135821.47136391	7
chr10	47438879	47439366	chr10.47438879.47439366	4
chr10	47942423	47942999	chr10.47942423.47942999	5
chr10	47986487	47987179	chr10.47986487.47987179	3
chr10	48337001	48337457	chr10.48337001.48337457	2
chr10	48480904	48481493	chr10.48480904.48481493	7
chr10	48497250	48497740	chr10.48497250.48497740	7
chr10	48649635	48650047	chr10.48649635.48650047	4
chr10	49001355	49001822	chr10.49001355.49001822	8
chr10	49165719	49166566	chr10.49165719.49166566	5
chr10	49173054	49174104	chr10.49173054.49174104	8
chr10	49288499	49288832	chr10.49288499.49288832	4
chr10	49362933	49363378	chr10.49362933.49363378	1
chr10	49379682	49380053	chr10.49379682.49380053	3
chr10	49408492	49408943	chr10.49408492.49408943	2
chr10	49410432	49410862	chr10.49410432.49410862	1
chr10	49418502	49419646	chr10.49418502.49419646	12
chr10	49552200	49552756	chr10.49552200.49552756	1
chr10	49564216	49564572	chr10.49564216.49564572	1
chr10	49679340	49679865	chr10.49679340.49679865	3
chr10	50291506	50292027	chr10.50291506.50292027	6
chr10	50407491	50407857	chr10.50407491.50407857	2
chr10	50583399	50583852	chr10.50583399.50583852	2
chr10	50604048	50604572	chr10.50604048.50604572	2
chr10	50850048	50850380	chr10.50850048.50850380	4
chr10	51867870	51868301	chr10.51867870.51868301	2
chr10	51999149	51999596	chr10.51999149.51999596	6
chr10	52443342	52444256	chr10.52443342.52444256	11
chr10	53022581	53023022	chr10.53022581.53023022	5
chr10	53333479	53333827	chr10.53333479.53333827	7
chr10	53786358	53786721	chr10.53786358.53786721	4
