chr	start	end	name	mutation_count
chr10	201673	201967	chr10.201673.201967	5
chr10	279529	280054	chr10.279529.280054	7
chr10	280543	280928	chr10.280543.280928	4
chr10	306668	307438	chr10.306668.307438	1
chr10	936701	937112	chr10.936701.937112	3
chr10	1037047	1037494	chr10.1037047.1037494	8
chr10	1594829	1595370	chr10.1594829.1595370	7
chr10	1648766	1649199	chr10.1648766.1649199	3
chr10	2922039	2922731	chr10.2922039.2922731	6
chr10	2980805	2981836	chr10.2980805.2981836	7
chr10	4834082	4834594	chr10.4834082.4834594	3
chr10	5518169	5518741	chr10.5518169.5518741	6
chr10	5556615	5557231	chr10.5556615.5557231	10
chr10	5559409	5560187	chr10.5559409.5560187	4
chr10	5582803	5583275	chr10.5582803.5583275	9
chr10	5852378	5852939	chr10.5852378.5852939	6
chr10	5910410	5910834	chr10.5910410.5910834	2
chr10	6120036	6120556	chr10.6120036.6120556	7
chr10	7233717	7234236	chr10.7233717.7234236	5
chr10	8153900	8154432	chr10.8153900.8154432	6
chr10	10528306	10528818	chr10.10528306.10528818	2
chr10	11341299	11341763	chr10.11341299.11341763	5
chr10	11715943	11716634	chr10.11715943.11716634	4
chr10	12588149	12588589	chr10.12588149.12588589	2
chr10	12725546	12725949	chr10.12725546.12725949	3
chr10	12898136	12898919	chr10.12898136.12898919	10
chr10	13698154	13698922	chr10.13698154.13698922	12
chr10	14126602	14127371	chr10.14126602.14127371	7
chr10	14554232	14554963	chr10.14554232.14554963	6
chr10	14686492	14686961	chr10.14686492.14686961	4
chr10	14687363	14687800	chr10.14687363.14687800	6
chr10	15905326	15905665	chr10.15905326.15905665	3
chr10	16867627	16868064	chr10.16867627.16868064	2
chr10	21083829	21084403	chr10.21083829.21084403	12
chr10	21208796	21209213	chr10.21208796.21209213	1
chr10	21427812	21428381	chr10.21427812.21428381	5
chr10	22853970	22854421	chr10.22853970.22854421	1
chr10	26485155	26485953	chr10.26485155.26485953	7
chr10	27611277	27611682	chr10.27611277.27611682	1
chr10	28875498	28876010	chr10.28875498.28876010	3
chr10	30857864	30858342	chr10.30857864.30858342	2
chr10	32983338	32983871	chr10.32983338.32983871	3
chr10	36675490	36676028	chr10.36675490.36676028	3
chr10	42768012	42768374	chr10.42768012.42768374	3
chr10	43208892	43209584	chr10.43208892.43209584	5
chr10	43354339	43354772	chr10.43354339.43354772	3
chr10	43775372	43775919	chr10.43775372.43775919	4
chr10	44287362	44287768	chr10.44287362.44287768	4
chr10	44821335	44821812	chr10.44821335.44821812	6
chr10	45308799	45309191	chr10.45308799.45309191	1
chr10	45420572	45420962	chr10.45420572.45420962	2
chr10	46441801	46442372	chr10.46441801.46442372	8
chr10	47135821	47136391	chr10.47135821.47136391	7
chr10	47438879	47439366	chr10.47438879.47439366	4
chr10	47942423	47942999	chr10.47942423.47942999	5
chr10	47986487	47987179	chr10.47986487.47987179	3
chr10	48649635	48650047	chr10.48649635.48650047	4
chr10	49288499	49288832	chr10.49288499.49288832	4
chr10	49564216	49564572	chr10.49564216.49564572	1
chr10	50291506	50292027	chr10.50291506.50292027	6
chr10	50583399	50583852	chr10.50583399.50583852	2
chr10	50604048	50604572	chr10.50604048.50604572	2
chr10	51999149	51999596	chr10.51999149.51999596	6
chr10	53333479	53333827	chr10.53333479.53333827	7
chr10	58158876	58159278	chr10.58158876.58159278	3
chr10	59678936	59679370	chr10.59678936.59679370	1
chr10	60035981	60036550	chr10.60035981.60036550	7
chr10	62025499	62025836	chr10.62025499.62025836	2
chr10	62885922	62886481	chr10.62885922.62886481	6
chr10	63537445	63537985	chr10.63537445.63537985	3
chr10	63973454	63973862	chr10.63973454.63973862	10
chr10	66604241	66604576	chr10.66604241.66604576	3
chr10	69226882	69227469	chr10.69226882.69227469	4
chr10	69494599	69495180	chr10.69494599.69495180	5
chr10	69588445	69588841	chr10.69588445.69588841	4
chr10	69836147	69837136	chr10.69836147.69837136	12
chr10	70292006	70292487	chr10.70292006.70292487	5
chr10	70533522	70533955	chr10.70533522.70533955	4
chr10	70693737	70694579	chr10.70693737.70694579	6
chr10	70699718	70700378	chr10.70699718.70700378	7
chr10	70785390	70785775	chr10.70785390.70785775	3
chr10	71085949	71086488	chr10.71085949.71086488	4
chr10	71465318	71466194	chr10.71465318.71466194	8
chr10	71703489	71704242	chr10.71703489.71704242	6
chr10	71798129	71798464	chr10.71798129.71798464	1
chr10	72165411	72165889	chr10.72165411.72165889	4
chr10	75107796	75108219	chr10.75107796.75108219	2
chr10	77873311	77874408	chr10.77873311.77874408	4
chr10	78362470	78363080	chr10.78362470.78363080	8
chr10	79173881	79174665	chr10.79173881.79174665	3
chr10	79390601	79391036	chr10.79390601.79391036	5
chr10	80168050	80168541	chr10.80168050.80168541	1
chr10	80318817	80319345	chr10.80318817.80319345	5
chr10	80388346	80388697	chr10.80388346.80388697	7
chr10	84248836	84249353	chr10.84248836.84249353	3
chr10	85666305	85666666	chr10.85666305.85666666	4
chr10	86649478	86650036	chr10.86649478.86650036	4
chr10	86657208	86658005	chr10.86657208.86658005	5
chr10	86706222	86706872	chr10.86706222.86706872	2
chr10	88512638	88513112	chr10.88512638.88513112	5
chr10	88721344	88722025	chr10.88721344.88722025	5
chr10	88794826	88795211	chr10.88794826.88795211	7
chr10	89555715	89556164	chr10.89555715.89556164	4
chr10	92174041	92174448	chr10.92174041.92174448	1
chr10	94037970	94038483	chr10.94037970.94038483	10
